Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,AllStar,AllNBA,AllDef,Center
98,Josh Davis,PF,25,MIL/HOU/PHO,6,17,13.6,0.361,0.286,0.429,20.4,7.1,13.7,8.8,6,0,10.7,24.8,0,0,0,0.018,-1.7,0.4,-1.3,0,0,0,0,0
99,Ricky Davis,SG-SF,26,BOS/MIN,78,3207,15.6,0.521,0.186,0.265,2.5,10.5,6.6,22.2,1.5,0.4,12.8,24.3,2.5,2.5,5,0.075,0.9,-0.8,0,1.6,0,0,0,0
100,Carlos Delfino,SG,23,DET,68,726,10.6,0.483,0.265,0.296,4.5,14.1,9.3,9.7,1.6,1.5,12.4,19.1,0,1,1,0.067,-2.6,-0.1,-2.7,-0.1,0,0,0,0
101,Tony Delk,PG-SG,32,ATL/DET,24,385,16.1,0.526,0.292,0.168,4.3,12.2,8.2,15.2,1.9,0.2,9.9,23.7,0.4,0.5,0.9,0.112,0.6,-1.3,-0.7,0.1,0,0,0,0
102,Luol Deng,SF,20,CHI,78,2604,15.8,0.517,0.082,0.289,5.6,17.1,11.4,9.7,1.4,1.5,8.9,20.4,2.7,3.8,6.5,0.12,-0.9,1.6,0.7,1.8,0,0,0,0
103,Boris Diaw,PF,23,PHO,81,2874,17.3,0.564,0.035,0.279,6.3,15.1,10.8,24.9,1,2.1,16.5,17.9,5.9,3,8.9,0.149,1.1,1.9,3,3.6,0,0,0,0
104,Dan Dickau,PG,27,BOS,19,234,10.4,0.575,0.435,0.391,2.7,5.6,4.2,25.5,2.4,0.3,25,14.1,0.3,0.2,0.4,0.09,-1.2,-2,-3.2,-0.1,0,0,0,0
105,Travis Diener,PG,23,ORL,23,246,12.6,0.614,0.826,0.087,2.1,8.3,5.3,10.6,1.5,0,12.2,15.7,0.5,0.1,0.6,0.115,2.4,-2.6,-0.1,0.1,0,0,0,0
106,Ike Diogu,PF,22,GSW,69,1031,15.8,0.596,0,0.503,10,14.9,12.4,4.9,0.7,2.2,16.1,21,1.7,1,2.6,0.123,-2.1,-0.9,-3,-0.3,0,0,0,0
107,DeSagana Diop,C,24,DAL,81,1510,11.5,0.512,0.013,0.468,11.8,17.9,14.9,2.2,1.6,7.4,16.2,6.9,1.3,2.7,4.1,0.13,-1.1,4.3,3.2,2,0,0,0,1
108,Juan Dixon,SG,27,POR,76,1920,14.6,0.516,0.207,0.236,1.9,9.3,5.5,14.9,1.7,0.2,11.1,25.2,1.1,0.1,1.2,0.03,0,-2.9,-2.9,-0.5,0,0,0,0
109,Michael Doleac,C,28,MIA,31,371,9.9,0.484,0,0.341,7.6,18.9,13.5,3.2,1.4,1.4,12.2,14.3,0.1,0.5,0.6,0.079,-4,-0.1,-4.1,-0.2,0,0,0,1
110,Keyon Dooling,PG,25,ORL,50,1137,12.6,0.513,0.106,0.299,1.2,7.1,4.2,16.7,2.3,0.3,15.2,22.5,0.3,0.8,1.1,0.046,-1.6,-1.5,-3.1,-0.3,0,0,0,0
111,Chris Duhon,PG,23,CHI,74,2155,12.9,0.538,0.517,0.266,1.5,10.2,5.9,26.4,1.7,0.1,16.3,15,2.7,2.5,5.2,0.116,0.6,0.2,0.9,1.6,0,0,0,0
112,Tim Duncan,PF,29,SAS,80,2784,23.1,0.523,0.004,0.45,10.1,26.9,18.7,16.5,1.4,4.2,12.2,27.7,3.9,6.9,10.8,0.187,0.3,4,4.3,4.4,1,1,1,0
113,Mike Dunleavy,SF,25,GSW,81,2578,12.5,0.503,0.319,0.309,3.3,14.2,8.6,15,1.2,0.9,11.5,18.1,1.9,2.3,4.2,0.077,-0.7,0.4,-0.3,1.1,0,0,0,0
114,Ronald Dupree,SF,25,MIN,36,265,10.4,0.494,0.016,0.651,9.8,12.4,11.1,8.8,2.4,0,14.7,17,0,0.3,0.3,0.056,-2.5,-0.2,-2.7,0,0,0,0,0
115,John Edwards,C,24,ATL,40,296,6.4,0.508,0,0.172,7.1,12.5,9.7,2.7,0.5,3.9,14.8,12.4,0.1,0.1,0.2,0.026,-4.3,-1.5,-5.7,-0.3,0,0,0,1
116,Howard Eisley,PG,33,LAC/DEN,32,394,9.2,0.445,0.408,0.233,0.9,8.7,4.9,25.6,1.4,0.4,15.6,15.4,0,0.3,0.3,0.037,-2.6,-2,-4.6,-0.3,0,0,0,0
117,Monta Ellis,SG,20,GSW,49,886,11.1,0.486,0.258,0.186,2.7,10.7,6.6,14.9,1.9,0.9,14.4,20.2,-0.3,0.8,0.5,0.028,-2.5,-0.4,-2.9,-0.2,0,0,0,0
118,Francisco Elson,C,29,DEN,72,1579,10.1,0.556,0.018,0.261,7.4,17.6,12.5,4.4,1.7,2.1,17,10.8,0.8,2,2.9,0.087,-2.2,1.7,-0.5,0.6,0,0,0,1
119,Melvin Ely,PF,27,CHA,57,1348,14.3,0.55,0.005,0.452,7.6,16.8,11.9,9.7,1.1,2.5,16.4,20.1,0.8,1.2,2,0.072,-1.9,0.5,-1.4,0.2,0,0,0,0
120,Maurice Evans,SG,27,DET,80,1139,14,0.545,0.34,0.191,7.8,9.2,8.5,8.5,2,1,9.5,17,1.8,1.4,3.2,0.135,0.8,0,0.8,0.8,0,0,0,0
121,Reggie Evans,PF,25,SEA/DEN,67,1393,12.5,0.519,0.004,0.81,14.6,28.3,21.4,4,1.5,0.5,19,14.4,0.8,1.3,2.1,0.072,-2.2,-0.8,-3,-0.4,0,0,0,0
